GEOID,HH,POP,HH_Occ,GQ_Inst,GQ_Non,GP
410239602021027,1,8,0,0,0,8
410279501001060,54,116,47,0,0,116
410279501002010,0,0,0,0,0,0
410279501002026,7,16,7,0,0,16
410290012002000,3,6,3,0,0,6
410290012003020,34,101,34,0,4,97
410290025002157,0,0,0,0,0,0
410290025002224,0,0,0,0,0,0
410290025002277,0,0,0,0,0,0
410333616021005,0,0,0,0,0,0
410259602001024,0,0,0,0,0,0
410259602001077,0,0,0,0,0,0
410290002011009,0,0,0,0,0,0
410290002012011,39,90,35,0,0,90
410290002021020,19,54,19,0,5,49
410290026002272,4,10,4,0,0,10
410290026002328,0,0,0,0,0,0
410290026002374,0,0,0,0,0,0
410359702011532,0,0,0,0,0,0
410259602001188,0,0,0,0,0,0
410259602001241,0,0,0,0,0,0
410290002032012,18,48,18,0,0,48
410290004032001,7,27,7,0,0,27
410290026002420,0,0,0,0,0,0
410290026002474,1,7,1,0,0,7
410319602022011,2,12,2,0,0,12
410333612022030,0,0,0,0,0,0
410359702011544,0,0,0,0,0,0
410359702011560,7,7,0,0,0,7
410359702011577,0,0,0,0,0,0
410192100001693,0,0,0,0,0,0
410192100001745,0,0,0,0,0,0
410192100002007,6,9,6,0,0,9
410239601003068,0,0,0,0,0,0
410239601003121,4,6,4,0,0,6
410259602001110,0,0,0,0,0,0
410259602001146,0,0,0,0,0,0
410259602001358,1,5,1,0,0,5
410259602001410,0,0,0,0,0,0
410290004051005,26,66,26,0,0,66
410290004063006,16,69,16,0,0,69
410333613012030,27,63,26,0,0,63
410290027012098,2,10,2,0,0,10
410319602023039,19,37,19,0,0,37
410359701001366,0,0,0,0,0,0
410359708001017,0,0,0,0,0,0
410359708001052,11,19,11,0,0,19
410379601001178,0,0,0,0,0,0
410379601001273,0,0,0,0,0,0
410390001001073,0,0,0,0,0,0
410390004021014,7,22,7,0,0,22
410390011022004,0,0,0,0,0,0
410390011022023,1,9,1,0,0,9
410390015001527,0,0,0,0,0,0
410390015001581,0,0,0,0,0,0
410359708002062,2,2,2,0,0,2
410379601001316,0,0,0,0,0,0
410390004021023,8,28,7,0,0,28
410390007022008,0,0,0,0,0,0
