"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
2043,3,3,3,3,4,2,0,1,3,8,3,5,11,6,2,0,11,8
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,3,0,2,0,1,0,0,0,1,4,0,1,4,2,0,0,2,4
2046,59,52,69,39,66,22,16,33,169,91,66,30,192,111,45,8,94,262
2047,19,17,28,14,24,7,5,10,28,54,17,25,67,39,15,3,36,88
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,15,19,9,6,10,5,0,0,33,17,10,4,23,18,23,0,17,47
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051,27,15,12,21,17,8,3,1,29,47,11,17,46,30,25,3,29,75
2052,3,16,12,5,11,2,3,0,18,16,6,12,25,18,9,0,14,38
2053,3,11,8,3,9,0,1,0,18,13,4,0,17,12,6,0,4,31
2054,27,13,10,20,18,8,4,1,27,30,20,24,44,30,24,3,38,63
2055,5,29,22,13,24,4,6,0,39,28,17,19,48,36,19,0,33,70
2056,13,61,48,24,50,8,14,0,91,51,39,37,102,75,40,1,77,141
2057,1,4,6,8,9,5,0,1,8,8,6,12,15,11,7,1,16,18
2058,1,4,3,1,2,0,1,0,3,6,2,1,5,5,2,0,3,9
2059,50,44,30,31,60,44,10,4,141,83,19,30,117,89,56,11,43,230
2060,7,9,12,7,9,7,3,1,25,16,7,7,26,18,10,1,10,45
2061,43,51,27,23,20,11,0,0,68,48,30,29,63,52,58,2,60,115
